theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,0.1,-63.56,-79.56,16.23,2186,79.79,63.56,14034,0.156,0.405,0.208,0.1157,4,0.3365,6088,0.7781,-0.3277,8165,1,7200,-35.16,1,7200,-35.16,1,7200,-35.16,1,8019,-31.1,1,8020,-31.1,1,8020,-31.1,1,8020,-31.1,1,8020,-31.1,0,-1,,0.6122,40.74,4,144397
80.0,0,-1,confirm,0.1,55.8,39.8,96.63,9512,40.83,16.33,11566,0.822,0.798,0.2,0.2067,4,0.4428,1376,0.9272,0.0878,929,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.7124,79.66,4,158431
80.0,0,1,confirm,0.1,91.7,75.7,132.76,10106,41.06,17.79,12206,0.828,2.503,0.284,0.1657,5,0.2356,10941,0.7438,-0.1657,3839,1,3531,17.79,1,3531,17.79,0,-1,,1,3826,32.85,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.414,41.23,4,169997
80.0,0,-1,confirm,0.1,-65.1,-81.1,16.27,106,81.37,65.1,5930,0.018,2.284,0.352,-0.1562,5,0.0292,3849,0.5768,-0.3126,5409,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,2146,-18.99,1,5396,-59.67,0,-1,,0.5073,40.52,5,182203
80.0,0,1,fallback,0.1,29.64,13.64,71.41,1431,41.77,12.13,2616,0.547,1.389,0.362,0.5094,5,0.5864,1359,0.9519,0.1926,785,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.3994,81.51,5,188133
80.0,0,-1,confirm,0.1,-72.55,-88.55,8.06,642,80.61,72.55,3436,0.187,1.705,0.067,-0.4772,5,-0.4476,3150,0.0374,-0.5256,2751,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.754,41.47,5,190749
80.0,0,1,fallback,0.1,11.34,-4.66,52.02,85,40.68,-0.0,355,0.239,0.445,0.253,0.6086,5,0.61,74,0.768,0.4885,3,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.7125,80.67,5,194185
80.0,0,-1,confirm,0.1,-83.93,-99.93,3.33,6,87.26,83.93,1013,0.006,0.24,0.048,-0.5852,5,-0.4682,952,0.2109,-0.5948,64,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.7191,40.47,5,194540
80.0,0,1,fallback,0.1,40.96,24.96,81.91,145,40.96,8.59,174,0.833,3.392,0.234,0.4891,5,0.5061,106,0.439,0.4746,173,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.7266,87.29,5,195553
80.0,0,-1,confirm,0.1,8.55,-7.45,50.0,294,41.45,5.26,697,0.422,0.645,0.05,-0.4211,5,-0.4063,548,0.386,-0.4746,0,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.378,40.62,5,195727
80.0,0,1,confirm,0.1,-70.45,-86.45,9.22,563,79.67,70.45,2687,0.21,0.654,0.074,0.3281,5,0.414,5,0.4815,0.247,2505,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.0852,41.66,5,196424
80.0,0,-1,confirm,0.1,-8.62,-24.62,31.83,208,40.45,8.62,960,0.217,5.913,0.312,-0.1927,5,-0.1566,953,0.8667,-0.2511,6,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,0,-1,,0,-1,,0.2872,79.6,5,199111
80.0,0,1,confirm,0.1,34.45,18.45,74.87,4830,40.42,34.45,5583,0.865,4.189,0.103,-0.0533,5,0.1628,53,0.9059,-0.3434,1627,1,128,-15.9,1,128,-15.9,0,-1,,1,482,-17.23,1,1290,-34.45,1,1583,-19.88,1,1290,-34.45,1,1583,-19.88,0,-1,,0.8092,40.58,5,200071
80.0,0,-1,confirm,0.1,-0.0,-16.0,42.26,4131,42.26,2.64,7535,0.548,3.29,0.069,0.0475,5,0.1149,5849,0.7557,-0.3393,2837,1,6458,25.09,1,6458,25.09,0,-1,,1,6734,35.66,0,-1,,0,-1,,1,1699,22.45,1,1699,22.45,0,-1,,0.4832,40.12,5,205654
80.0,0,1,confirm,0.1,-75.93,-91.93,3.96,726,79.89,75.93,3550,0.205,5.472,0.11,0.1017,5,0.1658,0,0.7381,-0.2393,2363,1,1086,-9.24,1,1086,-9.24,0,-1,,1,1143,-7.92,1,1292,-11.89,0,-1,,1,1292,-11.89,0,-1,,0,-1,,0.1121,42.44,5,213189
80.0,0,-1,confirm,0.1,-23.95,-39.95,16.63,5900,40.59,35.26,8796,0.671,0.198,0.156,0.2996,6,0.3909,2452,0.8724,0.0434,3836,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.1683,79.86,6,216739
80.0,0,1,confirm,0.1,12.61,-3.39,53.1,2290,40.49,7.3,6117,0.374,3.346,0.269,0.3027,6,0.314,2474,0.8145,-0.1702,0,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.2144,40.65,6,225535
80.0,0,-1,confirm,0.1,7.95,-8.05,49.06,8669,41.1,22.54,12014,0.722,1.875,0.078,0.1469,6,0.181,8279,0.8778,-0.4462,6905,1,2263,-2.65,1,2263,-2.65,0,-1,,1,2279,-6.63,1,2485,1.33,1,4153,-17.24,1,2485,1.33,1,4153,-17.24,1,6587,17.24,0.7535,40.27,6,231652
80.0,0,1,confirm,0.1,0.0,-16.0,40.47,21732,40.47,11.94,22898,0.949,2.242,0.278,0.3071,7,0.4024,4134,0.9767,-0.2245,708,1,7289,-2.65,1,7289,-2.65,1,7289,-2.65,1,10134,-2.65,0,-1,,0,-1,,1,300,-10.62,0,-1,,0,-1,,0.0907,41.3,6,243666
80.0,0,-1,confirm,0.1,-76.96,-92.96,3.98,854,80.94,76.96,8991,0.095,3.218,0.085,-0.1895,7,0.2399,8531,0.8578,-0.235,812,1,8991,-76.96,1,8991,-76.96,1,8991,-76.96,1,8991,-76.96,0,-1,,0,-1,,1,667,-1.33,0,-1,,0,-1,,0.7779,40.31,7,266564
80.0,0,1,fallback,0.1,-22.38,-38.38,18.43,109,40.82,22.38,2241,0.049,0.712,0.376,0.3033,7,0.3141,90,0.9349,-0.1634,785,1,745,0.0,1,745,0.0,1,745,0.0,1,745,0.0,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.2318,80.97,7,275555
80.0,0,-1,confirm,0.1,46.19,30.19,86.44,55963,40.25,43.55,59631,0.938,0.375,0.179,0.1372,9,0.5143,45991,0.9438,-0.5077,29491,1,4515,-2.64,1,4515,-2.64,1,4515,-2.64,1,6273,5.28,1,11487,-38.27,1,22670,11.88,1,11487,-38.27,1,22670,11.88,1,29488,39.59,0.8596,40.74,7,277796
80.0,0,1,confirm,0.1,-51.71,-67.71,31.16,16661,82.86,51.71,59946,0.278,4.807,0.404,0.1973,9,0.5212,30859,0.9736,-0.729,58212,1,6680,1.99,1,6680,1.99,1,6680,1.99,1,39353,-3.98,1,39788,-15.25,1,40421,-29.17,1,39788,-15.25,1,40421,-29.17,1,42848,-26.52,0.1917,40.6,9,337427
80.0,0,-1,fallback,0.1,-30.65,-46.65,10.0,2,40.65,30.65,1492,0.001,9.765,0.357,0.6436,11,0.6513,25,0.7989,0.3075,1492,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.4966,82.61,11,397373
80.0,0,1,confirm,0.1,-66.43,-82.43,13.29,63,79.72,66.43,51358,0.001,1.943,0.823,-0.3068,11,0.3892,24904,0.9563,-0.3871,17627,1,5937,-3.99,1,5937,-3.99,1,5937,-3.99,1,6827,-9.3,1,7151,-14.62,1,17563,-33.22,1,0,0.0,1,0,0.0,0,-1,,0.7975,40.69,11,398865
80.0,0,-1,confirm,0.1,37.45,21.45,77.58,7345,40.13,2.68,7717,0.952,3.636,0.267,0.3746,12,0.4627,5581,0.8437,0.1178,432,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.3459,79.61,12,450223
80.0,0,1,confirm,0.1,-71.83,-87.83,8.06,201,79.88,71.83,23417,0.009,1.817,0.199,-0.135,12,0.6588,11290,0.9811,-0.3101,23413,1,5097,-52.36,1,5097,-52.36,1,23347,-66.46,1,6321,-40.28,1,23413,-69.81,1,23413,-69.81,1,23413,-69.81,1,23413,-69.81,0,-1,,0.4483,40.44,12,457940
80.0,0,-1,confirm,0.1,-37.19,-53.19,3.38,37386,40.57,80.46,45680,0.818,0.061,0.238,0.099,14,0.532,17549,0.9479,-0.8296,43306,1,5996,-33.13,1,5996,-33.13,1,5996,-33.13,1,8071,-45.3,1,8248,-41.24,1,8248,-41.24,1,8248,-41.24,1,8248,-41.24,1,8387,-39.89,0.4483,79.82,13,481357
80.0,0,1,confirm,0.1,32.33,16.33,73.43,31155,41.09,18.86,34154,0.912,0.255,0.309,0.2203,15,0.7586,0,0.9636,-0.2783,5907,1,3767,-17.51,1,3767,-17.51,1,3767,-17.51,1,3974,-16.17,1,4190,-13.47,0,-1,,1,4190,-13.47,0,-1,,0,-1,,0.382,40.58,14,527037
80.0,0,-1,confirm,0.1,68.49,52.49,108.1,27341,39.62,8.06,28791,0.95,1.535,0.391,0.6198,16,0.6427,25569,0.9497,-0.4236,11791,1,4877,5.37,1,4877,5.37,1,4877,5.37,1,4877,5.37,1,11392,23.5,1,11398,23.5,1,11392,23.5,1,11398,23.5,1,11646,21.49,0.2155,40.79,15,561191
80.0,0,1,confirm,0.1,-14.87,-30.87,25.69,64343,40.57,54.09,75587,0.851,0.485,0.25,-0.1964,18,0.849,24649,0.9996,-0.5911,41953,1,12823,-1.35,1,12823,-1.35,1,12823,-1.35,1,12829,-1.35,1,13066,-1.35,1,13066,-1.35,1,0,0.0,1,0,0.0,1,0,0.0,0.9109,40.05,16,589982
80.0,0,-1,confirm,0.1,-0.68,-16.68,90.73,89639,91.41,39.27,90708,0.988,2.902,0.071,0.3883,20,0.7675,82269,0.976,-0.7115,49952,1,30878,8.13,1,37404,4.06,1,42940,-0.0,1,44868,-0.0,1,44880,-0.0,1,45897,-8.13,1,658,0.68,1,664,-0.0,1,664,-0.0,0.0912,40.46,18,665569
80.0,0,1,fallback,0.1,-52.13,-68.13,0.0,0,52.13,52.13,2,0.0,7.052,0.451,-0.0575,21,-0.0551,2,0.5122,-0.065,1,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.5313,92.24,21,756277
80.0,0,-1,confirm,0.1,-4.08,-20.08,36.75,936,40.84,6.13,5027,0.186,1.495,0.19,0.1267,21,0.1612,1936,0.5818,-0.0833,5027,1,4403,4.76,1,4403,4.76,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.5122,52.13,21,756279
80.0,0,1,confirm,0.1,-1.36,-17.36,39.46,41700,40.82,9.52,55375,0.753,1.804,0.847,0.4905,22,0.5208,40618,1.0,-0.5379,55375,1,971,0.0,1,971,0.0,1,971,0.0,1,971,0.0,1,13785,4.76,1,13806,-2.72,1,13785,4.76,1,13806,-2.72,1,15263,5.44,0.5197,40.99,21,761306
80.0,0,-1,confirm,0.1,155.13,139.13,195.28,77455,40.14,28.58,77466,1.0,9.796,0.391,0.8278,0,0.8278,77455,0.9768,-0.3833,15471,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,1,12945,-10.89,0,-1,,0.4187,40.66,22,816681
80.0,0,1,confirm,0.1,-64.97,-80.97,16.59,2389,81.55,64.97,13881,0.172,0.785,0.115,-0.7481,0,0.0677,10554,0.9564,-0.7687,1863,1,11016,-39.39,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,0,0.0,1,0,0.0,1,0,0.0,0.9744,40.94,0,894147
80.0,0,-1,fallback,0.1,-27.83,-43.83,12.52,164,40.35,27.83,1266,0.13,0.691,0.383,0.0708,1,0.083,0,0.3413,0.0377,1208,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.3389,81.42,1,908028
80.0,0,1,confirm,0.1,44.4,28.4,87.41,15821,43.01,6.94,16199,0.977,0.481,0.048,-0.1381,1,0.4185,6971,0.9899,-0.202,16199,1,15514,67.29,1,15514,67.29,1,15514,67.29,1,15514,67.29,1,16190,49.95,0,-1,,1,1650,18.04,0,-1,,0,-1,,0.3048,40.4,1,909294
