theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,1.0,-57.46,-73.46,23.21,60,80.67,57.46,1015,0.059,1.929,0.046,-0.5066,6,0.1491,651,0.9872,1,688,-18.79,1,688,-18.79,0,-1,,1,725,-24.31,0.6366,43.29,6,110160
80.0,0,-1,fallback,1.0,78.92,62.92,118.93,1871,40.01,2.22,2172,0.861,0.721,0.12,0.3632,7,0.6773,1202,0.9722,1,49,6.67,1,49,6.67,0,-1,,1,49,6.67,0.5917,80.49,6,111175
80.0,0,1,confirm,1.0,-1.12,-17.12,40.33,693,41.45,8.96,978,0.709,0.512,0.11,-0.6045,7,-0.0233,901,0.9451,0,-1,,0,-1,,0,-1,,0,-1,,0.3336,40.49,7,113347
80.0,0,-1,confirm,1.0,22.41,6.41,62.75,905,40.34,10.08,1044,0.867,1.076,0.156,0.1317,8,0.2942,410,0.8811,1,179,15.69,1,179,15.69,1,982,49.3,1,1009,42.58,0.1122,41.29,7,114325
80.0,0,1,confirm,1.0,-60.64,-76.64,19.09,183,79.73,60.64,540,0.339,0.514,0.05,0.0664,8,0.0719,119,0.5026,1,226,-10.11,0,-1,,0,-1,,0,-1,,0.4054,40.59,8,115369
80.0,0,-1,confirm,1.0,18.08,2.08,59.88,242,41.8,6.78,316,0.766,2.849,0.243,0.293,8,0.2987,249,0.6936,0,-1,,0,-1,,0,-1,,0,-1,,0.2592,79.58,8,115909
80.0,0,1,confirm,1.0,54.33,38.33,95.08,820,40.75,30.56,889,0.922,1.251,0.118,-0.0897,8,0.2556,532,0.894,1,576,40.75,1,576,40.75,1,576,40.75,1,576,40.75,0.4173,42.06,8,116225
80.0,0,-1,confirm,1.0,-2.25,-18.25,41.65,716,43.9,7.88,1222,0.586,2.166,0.071,-0.0045,8,0.1807,1182,0.8371,1,244,-7.88,1,244,-7.88,0,-1,,1,251,-0.0,0.4176,40.36,8,117114
80.0,0,1,confirm,1.0,-59.65,-75.65,21.38,389,81.04,59.65,659,0.59,1.69,0.121,0.0735,8,0.2833,560,0.9623,1,283,-6.75,1,283,-6.75,0,-1,,0,-1,,0.5192,44.09,8,118336
80.0,0,-1,fallback,1.0,13.59,-2.41,54.35,578,40.76,9.06,660,0.876,3.534,0.12,0.3169,9,0.3627,576,0.8757,0,-1,,0,-1,,0,-1,,0,-1,,0.4552,80.86,9,118995
80.0,0,1,confirm,1.0,-79.37,-95.37,0.0,0,79.37,79.37,627,0.0,0.808,0.032,-0.2138,9,-0.175,516,0.8004,0,-1,,0,-1,,0,-1,,0,-1,,0.643,40.98,9,119655
80.0,0,-1,confirm,1.0,21.71,5.71,61.71,393,40.0,5.71,443,0.887,1.313,0.13,0.4189,9,0.4189,393,0.6404,0,-1,,0,-1,,0,-1,,0,-1,,0.6708,79.37,9,120282
80.0,0,1,confirm,1.0,26.34,10.34,68.72,856,42.38,37.8,992,0.863,3.172,0.087,0.0988,9,0.362,991,0.7401,0,-1,,0,-1,,0,-1,,0,-1,,0.4417,40.25,9,120725
80.0,0,-1,confirm,1.0,-3.43,-19.43,38.84,1084,42.27,55.97,1485,0.73,1.564,0.118,0.0227,10,0.1166,800,0.9167,1,669,-53.69,1,884,-30.84,0,-1,,0,-1,,0.4822,42.09,9,121717
80.0,0,1,confirm,1.0,-52.53,-68.53,28.55,381,81.08,52.53,2101,0.181,0.757,0.107,0.0167,10,0.1699,1548,0.8677,1,45,-14.85,1,1643,10.28,0,-1,,1,1643,10.28,0.0293,42.43,10,123202
