theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,1.0,23.37,7.37,64.6,1089,41.24,-0.0,1815,0.6,1.36,0.057,0.41,18,0.446,1135,0.8781,1,1814,27.49,1,1814,27.49,1,1814,27.49,0,-1,,0.2407,40.02,18,67090
80.0,0,-1,confirm,1.0,111.08,95.08,150.85,1385,39.77,0.0,1549,0.894,4.367,0.106,0.3001,19,0.4054,1363,0.859,1,544,32.91,1,544,32.91,0,-1,,1,544,32.91,0.878,40.97,19,68905
80.0,0,1,confirm,1.0,29.12,13.12,70.73,779,41.6,4.16,956,0.815,0.586,0.135,0.1191,19,0.4472,420,0.8199,1,819,61.02,1,819,61.02,1,819,61.02,1,873,54.08,0.3369,40.38,19,70454
80.0,0,-1,confirm,1.0,42.87,26.87,82.96,306,40.1,2.77,386,0.793,2.055,0.16,0.5009,19,0.5066,309,0.7688,0,-1,,0,-1,,0,-1,,0,-1,,0.2347,41.31,19,71410
80.0,0,1,confirm,1.0,8.33,-7.67,48.6,1064,40.27,54.16,1109,0.959,0.806,0.173,0.5539,20,0.5878,1092,0.9502,0,-1,,0,-1,,0,-1,,0,-1,,0.6125,40.44,19,71796
80.0,0,-1,confirm,1.0,4.16,-11.84,44.4,177,40.24,6.94,270,0.656,2.505,0.04,0.1752,20,0.1826,230,0.9019,0,-1,,0,-1,,0,-1,,0,-1,,0.1109,40.08,20,72905
80.0,0,1,confirm,1.0,6.94,-9.06,54.14,524,47.2,9.72,818,0.641,0.216,0.212,-0.1559,20,0.2891,780,0.8311,0,-1,,0,-1,,0,-1,,0,-1,,0.6785,40.42,20,73175
80.0,0,-1,confirm,1.0,108.2,92.2,151.2,1314,43.0,23.58,1335,0.984,2.066,0.117,0.3623,20,0.5896,759,0.8522,1,337,33.29,0,-1,,0,-1,,0,-1,,0.6867,46.94,20,73993
80.0,0,1,confirm,1.0,54.69,38.69,96.76,774,42.07,51.89,917,0.844,0.988,0.147,0.1664,21,0.1958,791,0.7389,0,-1,,0,-1,,0,-1,,0,-1,,0.4937,43.66,20,75328
80.0,0,-1,confirm,1.0,-75.31,-91.31,18.13,14,93.44,75.31,1362,0.01,0.909,0.086,-0.087,21,0.1816,913,0.7155,1,1216,-34.87,1,1216,-34.87,0,-1,,1,1314,-43.24,0.2637,41.67,21,76245
