theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,confirm,1.0,-81.93,-97.93,0.0,2,81.93,81.93,2869,0.001,1.676,0.084,-0.2395,3,0.2509,1347,0.7287,1,898,-17.45,1,2204,-65.04,1,2204,-65.04,0,-1,,0.323,41.07,3,99423
80.0,1,1,fallback,1.0,-40.81,-56.81,0.0,0,40.81,40.81,417,0.0,0.557,0.06,-0.1443,4,-0.0717,287,0.2548,0,-1,,0,-1,,0,-1,,0,-1,,0.63,81.93,4,102292
80.0,1,-1,confirm,1.0,81.49,65.49,121.43,2373,39.94,0.24,2789,0.851,1.225,0.202,0.3311,5,0.4043,183,0.8853,1,703,15.2,1,703,15.2,1,703,15.2,1,782,13.02,0.18,40.81,4,102709
80.0,1,1,confirm,1.0,16.19,0.19,56.81,1034,40.62,51.0,1915,0.54,0.884,0.161,-0.2075,5,0.1228,197,0.7122,1,448,-25.07,1,448,-25.07,0,-1,,1,661,-23.5,0.7572,40.43,5,105498
80.0,1,-1,confirm,1.0,-52.85,-68.85,29.03,597,81.88,52.85,1686,0.354,0.946,0.132,0.2012,6,0.3424,91,0.8691,1,778,-8.18,1,778,-8.18,1,778,-8.18,1,1143,-19.85,0.1032,40.39,5,107413
80.0,1,1,fallback,1.0,-31.1,-47.1,10.02,30,41.12,31.1,711,0.042,1.832,0.186,0.2632,6,0.3299,9,0.6261,1,414,-25.42,1,414,-25.42,1,414,-25.42,1,414,-25.42,0.2271,82.12,6,109099
80.0,1,-1,confirm,1.0,71.06,55.06,111.86,3032,40.8,33.28,3608,0.84,1.271,0.198,0.2914,7,0.4166,2276,0.8607,1,362,-14.9,1,362,-14.9,1,362,-14.9,1,635,-20.67,0.0656,41.08,6,109810
80.0,1,1,confirm,1.0,4.79,-11.21,45.17,765,40.39,6.94,1069,0.716,2.358,0.096,0.4365,7,0.44,789,0.8301,1,73,11.69,0,-1,,0,-1,,0,-1,,0.0652,41.26,7,113418
80.0,1,-1,confirm,1.0,8.04,-7.96,48.68,817,40.64,18.59,915,0.893,1.063,0.185,-0.1302,8,-0.1178,296,0.4081,0,-1,,0,-1,,0,-1,,0,-1,,0.8109,40.2,7,114487
80.0,1,1,confirm,1.0,-54.47,-70.47,25.83,109,80.3,54.47,566,0.193,0.523,0.061,0.1825,8,0.2054,31,0.5297,1,335,-33.58,1,335,-33.58,1,335,-33.58,0,-1,,0.3983,40.84,8,115402
