theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,fallback,0.1,58.88,42.88,99.42,40541,40.54,12.55,42831,0.947,0.135,0.451,0.5086,1,0.9557,28628,1.0,-0.9677,3275,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,1,667,-1.93,0.3629,81.37,0,867668
80.0,1,1,confirm,0.1,0.97,-15.03,41.75,14623,40.78,12.62,15082,0.97,0.287,0.164,0.8204,1,0.9833,7744,1.0,-0.9194,9169,1,670,0.97,1,670,0.97,1,670,0.97,1,670,0.97,1,670,0.97,1,788,0.97,1,670,0.97,1,788,0.97,1,865,-2.91,0.9849,40.95,1,910499
80.0,1,-1,confirm,0.1,-41.75,-57.75,39.32,3658,81.06,41.75,17726,0.206,2.438,0.103,-0.277,1,0.8186,3053,1.0,-0.9822,14529,1,439,3.88,1,439,3.88,1,439,3.88,1,439,3.88,1,439,3.88,1,508,6.8,1,439,3.88,1,508,6.8,1,508,6.8,0.9645,40.61,1,925581
80.0,1,1,fallback,0.1,28.04,12.04,68.64,837,40.61,-0.0,6515,0.128,1.15,0.105,0.7085,2,0.935,783,1.0,-0.6713,3604,1,46,3.87,1,46,3.87,1,46,3.87,1,1170,37.7,1,1332,46.41,1,1332,46.41,1,1332,46.41,1,1332,46.41,1,2540,41.57,0.972,81.38,2,943307
80.0,1,-1,confirm,0.1,46.28,30.28,86.77,32432,40.49,58.81,36281,0.894,0.135,0.141,-0.2028,3,0.8657,21156,1.0,-0.894,30049,1,2884,-15.43,1,2884,-15.43,1,3289,-5.3,1,3373,-9.64,1,3373,-9.64,1,3419,-15.43,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.1733,40.33,2,949822
80.0,1,1,confirm,0.1,25.18,9.18,66.35,19928,41.16,47.46,23149,0.861,2.164,0.277,0.3116,3,0.9913,5027,1.0,-0.9679,15087,1,413,2.91,1,413,2.91,1,2156,-20.34,1,413,2.91,1,578,4.84,1,578,4.84,1,0,0.0,1,0,0.0,1,0,0.0,0.7458,40.85,3,986103
80.0,1,-1,confirm,0.1,2.42,-13.58,43.48,14271,41.06,16.42,28143,0.507,1.224,0.461,0.5237,4,0.9631,12,1.0,-0.9332,28143,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,1,976,6.76,0.955,40.89,4,1009252
100.0,0,1,fallback,0.1,17.97,1.97,69.04,4520,51.07,7.57,11084,0.408,2.815,0.155,0.1845,0,0.8615,4013,1.0,-0.9734,10683,1,663,1.42,1,663,1.42,1,663,1.42,1,663,1.42,1,687,1.89,1,697,0.0,1,687,1.89,1,697,0.0,1,896,-0.95,0.2599,101.27,0,9297
100.0,0,-1,confirm,0.1,29.27,13.27,80.72,17498,51.45,30.21,22907,0.764,0.201,0.126,-0.4914,1,0.9799,14838,1.0,-0.9767,20216,1,790,-0.0,1,790,-0.0,1,790,-0.0,1,791,-0.0,1,792,-0.0,1,2354,-24.55,1,792,-0.0,1,2354,-24.55,1,2814,-22.66,0.7429,50.72,0,20381
100.0,0,1,confirm,0.1,-54.92,-70.92,44.97,6674,99.89,54.92,22624,0.295,3.55,0.24,0.6922,1,0.9728,1759,1.0,-0.9843,8006,1,2205,17.04,1,2205,17.04,1,2205,17.04,1,2205,17.04,1,2205,17.04,1,2206,17.04,1,0,0.0,1,0,0.0,1,43,3.31,0.8786,51.87,1,43288
