theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,fallback,1.0,99.41,83.41,139.01,560,39.6,10.11,572,0.979,2.824,0.144,0.1668,1,0.2494,85,0.7952,1,422,83.4,1,422,83.4,1,422,83.4,0,-1,,0.4147,80.23,1,90849
80.0,1,1,confirm,1.0,-51.91,-67.91,36.59,175,88.5,51.91,362,0.483,0.317,0.038,-0.1656,1,-0.1474,324,0.4273,0,-1,,0,-1,,0,-1,,0,-1,,0.5372,40.15,1,91421
80.0,1,-1,fallback,1.0,-40.2,-56.2,1.71,7,41.91,40.2,77,0.091,1.205,0.079,0.2243,1,0.2461,0,0.3542,0,-1,,0,-1,,0,-1,,0,-1,,0.2775,88.17,1,91783
80.0,1,1,confirm,1.0,18.74,2.74,59.64,266,40.89,12.78,403,0.66,1.215,0.05,-0.0273,1,-0.0013,341,0.4919,0,-1,,0,-1,,0,-1,,0,-1,,0.1545,41.92,1,91860
80.0,1,-1,confirm,1.0,96.09,80.09,136.9,826,40.82,3.4,839,0.985,2.672,0.145,-0.0665,1,0.1777,543,0.6801,1,185,26.36,1,185,26.36,0,-1,,1,675,89.29,0.1091,40.65,1,92263
80.0,1,1,confirm,1.0,-72.12,-88.12,9.44,3,81.57,72.12,570,0.005,2.932,0.083,0.0891,1,0.1666,184,0.5037,1,536,-38.64,1,536,-38.64,0,-1,,0,-1,,0.0254,41.38,1,93102
80.0,1,-1,fallback,1.0,83.02,67.02,122.81,222,39.78,31.13,243,0.914,3.49,0.109,0.1759,2,0.1855,214,0.4505,1,152,35.46,0,-1,,0,-1,,0,-1,,0.0527,81.49,2,93672
80.0,1,1,confirm,1.0,122.96,106.96,163.95,180,40.99,-0.0,208,0.865,0.614,0.022,-0.0921,2,-0.0829,198,0.1989,0,-1,,0,-1,,0,-1,,0,-1,,0.3553,40.28,2,93915
80.0,1,-1,confirm,1.0,12.06,-3.94,53.41,92,41.35,6.03,140,0.657,0.373,0.037,0.0924,2,0.0988,31,0.4596,0,-1,,0,-1,,0,-1,,0,-1,,0.1026,40.33,2,94123
80.0,1,1,confirm,1.0,17.25,1.25,62.1,203,44.85,10.35,256,0.793,0.167,0.089,-0.1082,2,-0.0081,230,0.2841,0,-1,,0,-1,,0,-1,,0,-1,,0.2107,41.57,2,94263
80.0,1,-1,confirm,1.0,-65.44,-81.44,16.36,19,81.8,65.44,107,0.178,0.376,0.028,0.0335,2,0.074,78,0.4414,0,-1,,0,-1,,0,-1,,0,-1,,0.0709,44.57,2,94519
80.0,1,1,fallback,1.0,62.45,46.45,105.22,578,42.77,24.81,782,0.739,0.803,0.127,-0.0819,2,0.0168,749,0.433,0,-1,,0,-1,,0,-1,,0,-1,,0.0611,81.93,2,94626
80.0,1,-1,confirm,1.0,-77.36,-93.36,5.95,353,83.31,77.36,1106,0.319,0.556,0.024,-0.254,2,0.0253,0,0.2692,0,-1,,0,-1,,0,-1,,0,-1,,0.1413,42.33,2,95408
80.0,1,1,fallback,1.0,-27.84,-43.84,14.34,125,42.18,27.84,507,0.247,2.225,0.106,0.3246,2,0.3326,86,0.5998,0,-1,,0,-1,,0,-1,,0,-1,,0.2556,83.36,2,96514
80.0,1,-1,confirm,1.0,-66.83,-82.83,16.07,92,82.9,66.83,416,0.221,0.43,0.084,-0.0113,2,0.1111,239,0.5334,1,183,-2.54,1,335,-46.53,0,-1,,1,367,-49.91,0.4516,42.12,2,97021
80.0,1,1,fallback,1.0,85.71,69.71,126.89,957,41.18,-0.0,1061,0.902,0.636,0.1,-0.0147,3,0.2259,415,0.6141,1,836,119.33,1,836,119.33,1,836,119.33,1,1007,108.4,0.3619,83.04,3,97437
80.0,1,-1,confirm,1.0,-66.66,-82.66,14.16,477,80.82,66.66,1299,0.367,0.823,0.108,-0.0001,3,0.1434,4,0.5162,1,409,6.67,1,409,6.67,0,-1,,1,504,11.66,0.1624,40.66,3,98498
80.0,1,1,fallback,1.0,-15.73,-31.73,24.83,148,40.56,15.73,678,0.218,1.578,0.141,0.2432,3,0.2435,147,0.7138,1,397,10.76,1,397,10.76,1,397,10.76,1,669,-11.59,0.1484,80.93,3,99797
80.0,1,-1,confirm,1.0,-1.66,-17.66,38.96,2530,40.62,46.42,3036,0.833,1.087,0.185,0.0285,4,0.295,384,0.9218,1,860,-43.11,1,860,-43.11,1,860,-43.11,1,1004,-32.33,0.45,40.46,3,100475
80.0,1,1,confirm,1.0,-77.08,-93.08,2.49,261,79.57,77.08,995,0.262,0.225,0.063,-0.0081,4,0.2643,78,0.8958,1,254,-2.49,1,254,-2.49,1,254,-2.49,1,269,-21.55,0.4384,40.78,4,103511
80.0,1,-1,confirm,1.0,66.82,50.82,108.59,1257,41.76,8.35,1837,0.684,0.517,0.098,0.0021,5,0.2196,1630,0.7845,1,355,50.95,1,1161,81.86,0,-1,,0,-1,,0.1113,79.55,5,104506
