theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,0.1,-77.94,-93.94,2.83,156,80.78,77.94,4915,0.032,0.0,0.039,0.0337,0,0.9993,2773,1.0,-0.8522,975,1,470,-15.59,1,470,-15.59,1,470,-15.59,1,500,-20.55,1,500,-20.55,1,549,-18.42,1,500,-20.55,1,549,-18.42,1,621,-29.05,0.8968,41.27,0,879686
80.0,0,-1,fallback,0.1,-37.85,-53.85,2.86,1,40.71,37.85,1271,0.001,7.146,0.287,0.7973,0,0.807,359,1.0,-0.321,1271,1,731,-20.0,1,731,-20.0,1,731,-20.0,1,1229,-27.85,1,1229,-27.85,1,1263,-34.28,1,1229,-27.85,1,1263,-34.28,0,-1,,1.0,80.75,0,884601
80.0,0,1,confirm,0.1,-83.24,-99.24,12.09,1125,95.33,83.24,4614,0.244,0.06,0.223,-0.1395,0,0.8121,183,1.0,-0.9509,4614,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1,780,-2.13,1.0,40.72,0,885872
80.0,0,-1,fallback,0.1,-2.87,-18.87,38.74,14,41.61,2.87,353,0.04,9.588,0.465,0.6777,0,0.9596,2,1.0,0.3093,353,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1.0,95.22,0,890486
80.0,0,1,confirm,0.1,45.18,29.18,86.78,27662,41.6,30.12,32384,0.854,0.067,0.103,0.8461,1,1.0,18428,1.0,-1.0,31684,1,269,-4.3,1,269,-4.3,1,1666,20.08,1,277,-5.02,1,282,-2.15,1,282,-2.15,1,0,0.0,1,0,0.0,1,438,8.61,0.6825,41.77,0,890839
80.0,0,-1,confirm,0.1,-20.71,-36.71,20.71,6312,41.41,67.83,7190,0.878,0.366,0.139,0.1189,1,0.9694,0,1.0,-0.9959,3517,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1,774,-7.85,1.0,41.24,1,923223
80.0,0,1,confirm,0.1,102.6,86.6,143.93,13654,41.33,-0.0,14567,0.937,0.0,0.137,0.8176,2,0.9994,2374,1.0,-0.9995,10222,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,1,99,14.96,0.883,41.5,1,930413
80.0,0,-1,confirm,0.1,70.53,54.53,111.43,30763,40.91,21.16,34798,0.884,9.905,0.05,0.9947,3,1.0,19197,1.0,-1.0,10194,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1,2066,-14.81,1.0,40.74,2,944980
80.0,0,1,confirm,0.1,39.78,23.78,80.97,26282,41.2,45.46,33627,0.782,0.435,0.294,0.9573,3,1.0,69,1.0,-1.0,1134,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1,236,-0.71,1.0,41.37,3,979778
80.0,0,-1,confirm,0.1,-65.09,-81.09,15.56,524,80.65,65.09,6020,0.087,0.407,0.34,0.3521,4,0.9866,1758,1.0,-1.0,1770,1,1158,6.37,1,1158,6.37,1,1158,6.37,1,1770,-4.95,1,1770,-4.95,1,1770,-4.95,1,1770,-4.95,1,1770,-4.95,1,1770,-4.95,1.0,40.87,4,1013405
