date,wind_mwh,solar_mwh
2023-11-12,1005236.0,292000.0
2023-11-13,933646.0,266410.0
2023-11-14,1169821.0,297802.0
2023-11-15,874248.0,217736.0
2023-11-16,1609585.0,237135.0
2023-11-17,1056922.0,285948.0
2023-11-18,675249.0,304568.0
2023-11-19,1447725.0,334317.0
2023-11-20,1620799.0,299407.0
2023-11-21,1732936.0,245308.0
2023-11-22,982504.0,316286.0
2023-11-23,1456420.0,310985.0
2023-11-24,1085390.0,302713.0
2023-11-25,542822.0,305627.0
2023-11-26,1305044.0,246721.0
2023-11-27,1109140.0,319859.0
2023-11-28,1084771.0,341959.0
2023-11-29,1353913.0,326833.0
2023-11-30,1535825.0,246274.0
2023-12-01,953470.0,256072.0
2023-12-02,1115438.0,212997.0
2023-12-03,1232294.0,239196.0
2023-12-04,909200.0,301356.0
2023-12-05,855277.0,337757.0
2023-12-06,1350822.0,342498.0
2023-12-07,1940841.0,304117.0
2023-12-08,1815142.0,287565.0
2023-12-09,1887410.0,300437.0
2023-12-10,1230647.0,276097.0
2023-12-11,913824.0,334887.0
2023-12-12,1168320.0,316276.0
2023-12-13,1075911.0,254210.0
2023-12-14,1285845.0,287161.0
2023-12-15,1041660.0,295543.0
2023-12-16,1072650.0,284075.0
2023-12-17,1077918.0,246624.0
2023-12-18,1312448.0,303714.0
2023-12-19,1691084.0,270652.0
2023-12-20,1348218.0,247427.0
2023-12-21,990057.0,227317.0
2023-12-22,636458.0,177221.0
2023-12-23,1439150.0,215656.0
2023-12-24,1632976.0,239841.0
2023-12-25,1546018.0,260975.0
2023-12-26,1068914.0,244281.0
2023-12-27,1111179.0,262341.0
2023-12-28,1072409.0,309082.0
2023-12-29,1138700.0,312384.0
2023-12-30,1000726.0,322593.0
2023-12-31,1150353.0,305902.0
2024-01-01,719812.0,286726.0
2024-01-02,937171.0,294723.0
2024-01-03,604958.0,228952.0
2024-01-04,942786.0,279307.0
2024-01-05,993871.0,301186.0
2024-01-06,815871.0,249807.0
2024-01-07,1322028.0,264896.0
2024-01-08,1766610.0,237857.0
2024-01-09,1935968.0,258359.0
2024-01-10,1765414.0,339080.0
2024-01-11,1709853.0,279605.0
2024-01-12,1899379.0,267174.0
2024-01-13,1862857.0,270137.0
2024-01-14,1211221.0,295489.0
2024-01-15,1127337.0,258850.0
2024-01-16,1270900.0,313537.0
2024-01-17,1573764.0,321842.0
2024-01-18,1119876.0,319058.0
2024-01-19,1420248.0,306966.0
2024-01-20,1066364.0,319157.0
2024-01-21,1629002.0,252771.0
2024-01-22,983064.0,194165.0
2024-01-23,429119.0,168998.0
2024-01-24,336574.0,171243.0
2024-01-25,403965.0,272916.0
2024-01-26,622757.0,268109.0
2024-01-27,857167.0,308102.0
2024-01-28,798727.0,364084.0
2024-01-29,974836.0,443167.0
2024-01-30,782726.0,424183.0
2024-01-31,907915.0,334812.0
2024-02-01,1377878.0,327702.0
2024-02-02,1424786.0,327809.0
2024-02-03,1583569.0,381568.0
2024-02-04,1409537.0,276766.0
2024-02-05,859659.0,304130.0
2024-02-06,1016502.0,356124.0
2024-02-07,1846430.0,368122.0
2024-02-08,1947998.0,358722.0
2024-02-09,1548891.0,305338.0
2024-02-10,1097070.0,319186.0
2024-02-11,1200847.0,320025.0
2024-02-12,897192.0,406040.0
2024-02-13,733915.0,505282.0
2024-02-14,1223507.0,492006.0
2024-02-15,1292031.0,419864.0
2024-02-16,1524774.0,310237.0
2024-02-17,1651075.0,337064.0
2024-02-18,1237576.0,450537.0
2024-02-19,1245459.0,526680.0
2024-02-20,1261304.0,481446.0
2024-02-21,1395048.0,481934.0
2024-02-22,1474706.0,486971.0
2024-02-23,1317582.0,455892.0
2024-02-24,1399537.0,479806.0
2024-02-25,1477361.0,516971.0
2024-02-26,1886778.0,431913.0
2024-02-27,2106481.0,372472.0
2024-02-28,1631774.0,384120.0
2024-02-29,1570355.0,446360.0
2024-03-01,1749148.0,425754.0
2024-03-02,1787711.0,401200.0
2024-03-03,1992906.0,413961.0
2024-03-04,1674011.0,420900.0
2024-03-05,1248273.0,444634.0
2024-03-06,1221918.0,381797.0
2024-03-07,1286743.0,390234.0
2024-03-08,1561494.0,405408.0
2024-03-09,1335104.0,432398.0
2024-03-10,1205903.0,527384.0
2024-03-11,1789714.0,566366.0
2024-03-12,1702161.0,539670.0
2024-03-13,1537071.0,529498.0
2024-03-14,1503946.0,490448.0
2024-03-15,1508281.0,339661.0
2024-03-16,1323018.0,418922.0
2024-03-17,1458285.0,405211.0
2024-03-18,1168344.0,533010.0
2024-03-19,1548295.0,638429.0
2024-03-20,1449629.0,598092.0
2024-03-21,1125002.0,544180.0
2024-03-22,1217541.0,453985.0
2024-03-23,1314572.0,461740.0
2024-03-24,2088158.0,453686.0
2024-03-25,2069433.0,494184.0
2024-03-26,1610911.0,549764.0
2024-03-27,1160624.0,498304.0
2024-03-28,1224264.0,556829.0
2024-03-29,1812319.0,561523.0
2024-03-30,1361823.0,519715.0
