population,label,threshold,n_population,n_winner_pop,base_win_rate,n_fired,n_fired_winners,precision,recall,lift,mean_net_bps_fired,median_net_bps_fired,median_net_bps_pop
window=h48-54,ever_underwater_FALSE,True,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,reached_12bps_within_15m,True,1464,192,0.13114754098360656,504,184,0.36507936507936506,0.9583333333333334,2.7837301587301586,4.915199544885706,-3.634004165367579,-11.415958233290846
window=h48-54,reached_12bps_within_30m,True,1464,192,0.13114754098360656,512,192,0.375,1.0,2.859375,4.912918314106805,-3.55837569407747,-11.415958233290846
window=h48-54,reached_20bps_within_30m,True,1464,192,0.13114754098360656,324,192,0.5925925925925926,1.0,4.518518518518518,16.299282743733585,4.361693461222838,-11.415958233290846
window=h48-54,reached_20bps_within_60m,True,1464,192,0.13114754098360656,324,192,0.5925925925925926,1.0,4.518518518518518,16.299282743733585,4.361693461222838,-11.415958233290846
window=h48-54,volume_zscore_le,-0.5,1464,192,0.13114754098360656,594,61,0.1026936026936027,0.3177083333333333,0.7830387205387205,-10.152857936478902,-11.341380066998685,-11.415958233290846
window=h48-54,volume_zscore_le,-0.25,1464,192,0.13114754098360656,894,89,0.09955257270693513,0.4635416666666667,0.7590883668903803,-10.587832350719848,-11.456854659451867,-11.415958233290846
window=h48-54,volume_zscore_le,0.0,1464,192,0.13114754098360656,1038,118,0.11368015414258188,0.6145833333333334,0.8668111753371868,-9.528169552330898,-11.415958233290846,-11.415958233290846
window=h48-54,volume_zscore_le,0.25,1464,192,0.13114754098360656,1176,150,0.12755102040816327,0.78125,0.9725765306122449,-9.241922312514726,-11.341380066998685,-11.415958233290846
window=h48-54,volume_zscore_le,0.5,1464,192,0.13114754098360656,1236,154,0.12459546925566344,0.8020833333333334,0.9500404530744336,-9.02133964570823,-11.192144289289097,-11.415958233290846
window=h48-54,nt_ratio_entry_vs_pre30_ge,1.0,1464,192,0.13114754098360656,516,64,0.12403100775193798,0.3333333333333333,0.945736434108527,-11.268551502263268,-11.977609696285212,-11.415958233290846
window=h48-54,nt_ratio_entry_vs_pre30_ge,1.5,1464,192,0.13114754098360656,312,38,0.12179487179487179,0.19791666666666666,0.9286858974358974,-9.523304930341864,-10.914497039753886,-11.415958233290846
window=h48-54,nt_ratio_entry_vs_pre30_ge,2.0,1464,192,0.13114754098360656,228,31,0.13596491228070176,0.16145833333333334,1.0367324561403508,-7.783949350795452,-9.749815580741085,-11.415958233290846
window=h48-54,nt_ratio_entry_vs_pre30_ge,3.0,1464,192,0.13114754098360656,174,31,0.1781609195402299,0.16145833333333334,1.3584770114942528,-6.603312881394474,-8.3428741913694,-11.415958233290846
window=h48-54,entry_imb_long_bid_ge,-0.2,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_long_bid_ge,0.0,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_long_bid_ge,0.2,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_long_bid_ge,0.5,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_short_ask_le,0.2,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_short_ask_le,0.0,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_short_ask_le,-0.2,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,entry_imb_short_ask_le,-0.5,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,pre5_buyvol_long_ge,0.5,1464,192,0.13114754098360656,366,16,0.04371584699453552,0.08333333333333333,0.3333333333333333,-17.3266520954207,-14.899706743280719,-11.415958233290846
window=h48-54,pre5_buyvol_long_ge,0.7,1464,192,0.13114754098360656,279,9,0.03225806451612903,0.046875,0.24596774193548385,-17.862639238613077,-14.983092475243161,-11.415958233290846
window=h48-54,pre5_buyvol_long_ge,0.9,1464,192,0.13114754098360656,194,9,0.04639175257731959,0.046875,0.3537371134020619,-17.997363801360244,-14.305479628654197,-11.415958233290846
window=h48-54,pre5_buyvol_short_le,0.5,1464,192,0.13114754098360656,372,74,0.1989247311827957,0.3854166666666667,1.516801075268817,-0.13590383558987543,-8.564402089023464,-11.415958233290846
window=h48-54,pre5_buyvol_short_le,0.3,1464,192,0.13114754098360656,281,62,0.2206405693950178,0.3229166666666667,1.6823843416370108,2.81088503566744,-6.129333404801737,-11.415958233290846
window=h48-54,pre5_buyvol_short_le,0.1,1464,192,0.13114754098360656,183,43,0.23497267759562843,0.22395833333333334,1.7916666666666667,2.0123710486616293,-5.957159629887191,-11.415958233290846
window=h48-54,trade_present_score_ge,25,1464,192,0.13114754098360656,1416,188,0.1327683615819209,0.9791666666666666,1.0123587570621468,-9.35755496354953,-11.385953886703318,-11.415958233290846
window=h48-54,trade_present_score_ge,40,1464,192,0.13114754098360656,696,104,0.14942528735632185,0.5416666666666666,1.139367816091954,-12.138772956101985,-11.555899783933274,-11.415958233290846
window=h48-54,trade_present_score_ge,55,1464,192,0.13114754098360656,462,92,0.19913419913419914,0.4791666666666667,1.5183982683982684,-11.545291094685128,-11.497751085612888,-11.415958233290846
window=h48-54,trade_present_score_ge,70,1464,192,0.13114754098360656,222,60,0.2702702702702703,0.3125,2.060810810810811,-8.433675445063763,-11.131650388783202,-11.415958233290846
window=h48-54,dipole_long_pos_ge,0.0,1464,192,0.13114754098360656,336,11,0.03273809523809524,0.057291666666666664,0.2496279761904762,-17.06362884549134,-14.144626971993173,-11.415958233290846
window=h48-54,dipole_long_pos_ge,0.1,1464,192,0.13114754098360656,265,11,0.04150943396226415,0.057291666666666664,0.3165094339622641,-17.397628920879335,-14.1370983867191,-11.415958233290846
window=h48-54,dipole_long_pos_ge,0.2,1464,192,0.13114754098360656,228,11,0.04824561403508772,0.057291666666666664,0.3678728070175438,-17.118858820207517,-13.983990874331264,-11.415958233290846
window=h48-54,dipole_short_neg_le,0.0,1464,192,0.13114754098360656,492,109,0.22154471544715448,0.5677083333333334,1.6892784552845528,-0.2610914448405657,-8.790591877016286,-11.415958233290846
window=h48-54,dipole_short_neg_le,-0.1,1464,192,0.13114754098360656,376,85,0.22606382978723405,0.4427083333333333,1.7237367021276595,-1.497509333625804,-8.571455003619624,-11.415958233290846
window=h48-54,dipole_short_neg_le,-0.2,1464,192,0.13114754098360656,206,36,0.17475728155339806,0.1875,1.3325242718446602,-7.562123713457858,-10.025695403807802,-11.415958233290846
window=h48-54,hold_min_le_avoid_chop,15,1464,192,0.13114754098360656,1258,19,0.015103338632750398,0.09895833333333333,0.11516295707472178,-15.577138498028374,-13.359704065738423,-11.415958233290846
